batch,horizon_h,variable,rmse,mae,pearson
16,6,t2m,0.8208955526351929,0.6617470383644104,0.6890816688537598
16,6,msl,0.8276121616363525,0.6941158771514893,0.7852291464805603
16,12,u10,0.9314830899238586,0.7254190444946289,0.3370341360569
16,12,v10,0.7001231908798218,0.5445508360862732,0.438466340303421
16,12,t2m,0.794593334197998,0.6499717235565186,0.656664252281189
16,12,msl,0.9813458919525146,0.768799364566803,0.6690652966499329
16,18,u10,0.9235742688179016,0.7255612015724182,-0.05097097530961037
16,18,v10,0.6896944642066956,0.5071167945861816,0.28102347254753113
16,18,t2m,0.7278558611869812,0.5975055694580078,0.5953353643417358
16,18,msl,0.9161123037338257,0.6831991672515869,0.40979811549186707
16,24,u10,0.967557966709137,0.763310968875885,0.10320764780044556
16,24,v10,0.7011646032333374,0.5431041717529297,0.15403929352760315
16,24,t2m,0.6932647824287415,0.5633025765419006,0.6772716045379639
16,24,msl,0.8630369305610657,0.6703259944915771,0.391200989484787
17,6,u10,0.8500415682792664,0.6487789154052734,0.46696680784225464
17,6,v10,0.7806769609451294,0.5770773887634277,0.47395119071006775
17,6,t2m,0.7396448850631714,0.5858814716339111,0.714889407157898
17,6,msl,0.8716015815734863,0.7009369134902954,0.7254986763000488
17,12,u10,0.9904953241348267,0.7613983750343323,-0.12345212697982788
17,12,v10,0.8294188380241394,0.6138976812362671,0.20828844606876373
17,12,t2m,0.7238723635673523,0.5801571011543274,0.6774300932884216
17,12,msl,0.8133629560470581,0.6063435077667236,0.4847653806209564
17,18,u10,0.9404044151306152,0.7273616194725037,0.11836572736501694
17,18,v10,0.8025468587875366,0.6300886869430542,0.10732084512710571
17,18,t2m,0.7241038084030151,0.5827515125274658,0.6784304976463318
17,18,msl,0.7569789886474609,0.5978164672851562,0.5160604119300842
17,24,u10,0.9400467276573181,0.7444577217102051,0.27947449684143066
17,24,v10,0.9169915914535522,0.692486047744751,-0.16266396641731262
17,24,t2m,0.6320249438285828,0.5160148739814758,0.7358856797218323
17,24,msl,0.9704827666282654,0.7642248868942261,0.5318991541862488
18,6,u10,0.9456995725631714,0.6982043981552124,0.22881607711315155
18,6,v10,0.8476459383964539,0.634202241897583,0.3697165846824646
18,6,t2m,0.7002376317977905,0.5415763854980469,0.7300416827201843
18,6,msl,0.6592906713485718,0.4930810034275055,0.6769185066223145
18,12,u10,0.8993286490440369,0.6957458257675171,0.23875169456005096
18,12,v10,0.8427263498306274,0.6618195176124573,0.14318957924842834
18,12,t2m,0.7342885732650757,0.5845314264297485,0.7064197063446045
18,12,msl,0.6755936145782471,0.528263509273529,0.7435654401779175
18,18,u10,0.9282640218734741,0.7319130301475525,0.2744477689266205
18,18,v10,1.0414237976074219,0.7974399924278259,-0.1798199713230133
18,18,t2m,0.6718393564224243,0.5392699837684631,0.716202437877655
18,18,msl,0.7758868336677551,0.6128020882606506,0.6272929310798645
18,24,u10,1.0081360340118408,0.7727892398834229,0.30156877636909485
18,24,v10,1.2451775074005127,0.9257473349571228,-0.29268309473991394
18,24,t2m,0.6259915232658386,0.4869006276130676,0.8058953881263733
18,24,msl,0.7718112468719482,0.6048065423965454,0.5510286688804626
19,6,u10,0.7784042358398438,0.612502932548523,0.5898071527481079
19,6,v10,0.7969111800193787,0.6154415011405945,0.34163716435432434
19,6,t2m,0.6843990087509155,0.5376601219177246,0.717456579208374
19,6,msl,0.6216457486152649,0.4729459881782532,0.8526386618614197
19,12,u10,0.9792358875274658,0.7551704049110413,0.2598288357257843
19,12,v10,1.0700095891952515,0.8300462365150452,-0.11538363248109818
19,12,t2m,0.6549351811408997,0.5209082365036011,0.7851192951202393
19,12,msl,0.7216195464134216,0.5667157769203186,0.7214059233665466
19,18,u10,1.0436480045318604,0.7840621471405029,0.2173791080713272
19,18,v10,1.221496820449829,0.9065579175949097,-0.22511544823646545
19,18,t2m,0.6174307465553284,0.4898003935813904,0.8201021552085876
19,18,msl,0.7834596037864685,0.5971810817718506,0.6412900686264038
19,24,u10,0.9182181358337402,0.6713705062866211,0.25051990151405334
19,24,v10,1.2468845844268799,0.9359774589538574,-0.21592023968696594
19,24,t2m,0.5808834433555603,0.450833261013031,0.8761952519416809
19,24,msl,0.8268537521362305,0.660108208656311,0.5958275198936462
20,6,u10,0.9574111104011536,0.7370239496231079,0.5417430996894836
20,6,v10,0.921455979347229,0.7095345258712769,0.26650911569595337
20,6,t2m,0.6497036814689636,0.5124350190162659,0.771731436252594
20,6,msl,0.5395023226737976,0.42197614908218384,0.8254243731498718
20,12,u10,1.0256906747817993,0.774642825126648,0.29924678802490234
20,12,v10,1.0787672996520996,0.804149866104126,-0.057669080793857574
20,12,t2m,0.6069012880325317,0.4778003692626953,0.8359382152557373
